['0.022060', '0.002208', '0.001732', '0.010848', '0.002042', '0.002729', '0.001943', '0.007543', '0.001809', '0.001173', '0.001297', '0.002907', '0.002763', '0.001764', '0.001746', '0.002570', '0.002499', '0.001778', '0.002615', '0.001625', '0.001093', '0.001821', '0.004043', '0.002110', '0.001594', '0.001131', '0.003041', '0.004398', '0.000681', '0.000984', '0.003346', '0.003918', '0.001193', '0.000938', '0.000614', '0.001166', '0.000834', '0.000737', '0.001152', '0.001838', '0.000914', '0.000733', '0.000643', '0.000362', '0.000425', '0.000753', '0.000845', '0.000597', '0.000609', '0.000519', '0.001320', '0.000385', '0.000737', '0.000418', '0.001571', '0.000522', '0.000885', '0.838982', '0.034058']
['0.017717', '0.002161', '0.001568', '0.006818', '0.001709', '0.002553', '0.001587', '0.005016', '0.001380', '0.001097', '0.001136', '0.002331', '0.002352', '0.001457', '0.001473', '0.002047', '0.002028', '0.001399', '0.001904', '0.001388', '0.001128', '0.001473', '0.002562', '0.001586', '0.001327', '0.000802', '0.001851', '0.002204', '0.000680', '0.000887', '0.001965', '0.002074', '0.000925', '0.000770', '0.000538', '0.000795', '0.000628', '0.000700', '0.000821', '0.001056', '0.000657', '0.000480', '0.000435', '0.000302', '0.000353', '0.000556', '0.000631', '0.000511', '0.000390', '0.000416', '0.000896', '0.000289', '0.000725', '0.000344', '0.001080', '0.000443', '0.000831', '0.876557', '0.027460']
['0.018831', '0.002051', '0.001556', '0.007170', '0.001813', '0.002590', '0.001699', '0.005461', '0.001373', '0.001059', '0.001098', '0.002605', '0.002429', '0.001529', '0.001643', '0.002124', '0.002158', '0.001563', '0.001780', '0.001392', '0.001108', '0.001661', '0.002862', '0.001598', '0.001311', '0.000841', '0.002085', '0.002237', '0.000724', '0.000911', '0.002218', '0.001984', '0.000984', '0.000689', '0.000561', '0.000820', '0.000590', '0.000660', '0.000864', '0.001241', '0.000648', '0.000462', '0.000496', '0.000309', '0.000325', '0.000527', '0.000693', '0.000455', '0.000419', '0.000368', '0.000844', '0.000253', '0.000646', '0.000261', '0.001015', '0.000356', '0.000705', '0.874368', '0.026652']
['0.022677', '0.002291', '0.001726', '0.009302', '0.002163', '0.002734', '0.001782', '0.006951', '0.001704', '0.001263', '0.001338', '0.002897', '0.002951', '0.001809', '0.001895', '0.002488', '0.002582', '0.001642', '0.002739', '0.001904', '0.001131', '0.001741', '0.003820', '0.002212', '0.001415', '0.000756', '0.002807', '0.003700', '0.000726', '0.000788', '0.002797', '0.003717', '0.001081', '0.000717', '0.000572', '0.001430', '0.000756', '0.000649', '0.000942', '0.001728', '0.000884', '0.000657', '0.000617', '0.000413', '0.000418', '0.000711', '0.000685', '0.000572', '0.000542', '0.000445', '0.001236', '0.000343', '0.000803', '0.000334', '0.001610', '0.000443', '0.000854', '0.842001', '0.034443']
['0.020400', '0.002089', '0.001686', '0.009684', '0.001884', '0.002703', '0.001914', '0.007449', '0.001450', '0.001084', '0.001208', '0.003043', '0.002913', '0.001644', '0.001676', '0.002752', '0.002528', '0.001849', '0.002372', '0.001613', '0.001275', '0.001863', '0.003676', '0.001973', '0.001511', '0.000982', '0.003429', '0.002958', '0.000840', '0.001064', '0.003283', '0.003010', '0.001050', '0.000824', '0.000675', '0.001054', '0.000755', '0.000812', '0.001078', '0.001485', '0.000917', '0.000757', '0.000671', '0.000293', '0.000364', '0.000724', '0.000795', '0.000574', '0.000464', '0.000445', '0.001233', '0.000321', '0.000663', '0.000330', '0.001432', '0.000439', '0.000801', '0.847829', '0.031929']
['0.017943', '0.001862', '0.001294', '0.007296', '0.001563', '0.002378', '0.001439', '0.005227', '0.001293', '0.001031', '0.001095', '0.002235', '0.002361', '0.001537', '0.001489', '0.002127', '0.002004', '0.001374', '0.002226', '0.001335', '0.000916', '0.001452', '0.003213', '0.001634', '0.001045', '0.000628', '0.002285', '0.002380', '0.000509', '0.000734', '0.002267', '0.002212', '0.000810', '0.000564', '0.000527', '0.001109', '0.000568', '0.000624', '0.000856', '0.001330', '0.000790', '0.000541', '0.000458', '0.000325', '0.000336', '0.000488', '0.000612', '0.000516', '0.000470', '0.000382', '0.000858', '0.000262', '0.000536', '0.000288', '0.001171', '0.000354', '0.000746', '0.876037', '0.027031']
['0.025595', '0.002654', '0.002105', '0.009248', '0.002395', '0.003640', '0.002173', '0.007338', '0.001778', '0.001394', '0.001585', '0.003080', '0.002899', '0.002155', '0.002011', '0.002640', '0.002572', '0.001640', '0.003110', '0.001531', '0.001167', '0.001892', '0.003992', '0.001839', '0.001512', '0.000965', '0.003027', '0.002659', '0.000702', '0.001002', '0.003004', '0.002505', '0.001082', '0.001037', '0.000735', '0.001601', '0.000775', '0.000737', '0.001124', '0.002018', '0.000908', '0.000817', '0.000764', '0.000574', '0.000611', '0.000847', '0.000977', '0.000782', '0.000721', '0.000641', '0.001514', '0.000515', '0.001123', '0.000579', '0.002025', '0.000645', '0.001247', '0.825619', '0.041136']
['0.019137', '0.002223', '0.001180', '0.009699', '0.001684', '0.002604', '0.001486', '0.007746', '0.001392', '0.000981', '0.001037', '0.002215', '0.002241', '0.001475', '0.001525', '0.002131', '0.002092', '0.001183', '0.002639', '0.001305', '0.000952', '0.001386', '0.004714', '0.001499', '0.001328', '0.000687', '0.002850', '0.004797', '0.000585', '0.000628', '0.003351', '0.003917', '0.000829', '0.000797', '0.000498', '0.001324', '0.000676', '0.000576', '0.000786', '0.002161', '0.000756', '0.000533', '0.000494', '0.000306', '0.000386', '0.000544', '0.000533', '0.000663', '0.000499', '0.000472', '0.001260', '0.000305', '0.000708', '0.000330', '0.001238', '0.000482', '0.000903', '0.854033', '0.032512']
['0.024735', '0.002828', '0.001720', '0.011791', '0.002068', '0.003579', '0.001970', '0.009778', '0.001571', '0.001326', '0.001242', '0.002761', '0.002845', '0.001893', '0.002013', '0.002449', '0.002486', '0.001477', '0.003393', '0.001530', '0.001045', '0.002005', '0.005351', '0.001884', '0.001510', '0.000922', '0.003767', '0.005119', '0.000717', '0.000884', '0.004226', '0.004294', '0.000941', '0.001052', '0.000625', '0.001732', '0.000749', '0.000762', '0.001147', '0.002585', '0.000982', '0.000714', '0.000687', '0.000493', '0.000504', '0.000777', '0.000811', '0.000851', '0.000762', '0.000653', '0.001828', '0.000496', '0.001127', '0.000566', '0.001929', '0.000714', '0.001404', '0.812285', '0.045238']
['0.037761', '0.003457', '0.002735', '0.017412', '0.003022', '0.004526', '0.002932', '0.014100', '0.002494', '0.001910', '0.001998', '0.004647', '0.004236', '0.002983', '0.002730', '0.004008', '0.004171', '0.002425', '0.005814', '0.002409', '0.001465', '0.002862', '0.007781', '0.002797', '0.001956', '0.001258', '0.005760', '0.005501', '0.000937', '0.001348', '0.005659', '0.005312', '0.001540', '0.001348', '0.001095', '0.003131', '0.001040', '0.001051', '0.001514', '0.003837', '0.001397', '0.001193', '0.001058', '0.000761', '0.000820', '0.001242', '0.001299', '0.001154', '0.001022', '0.001095', '0.002642', '0.000862', '0.001692', '0.000893', '0.003222', '0.001105', '0.001840', '0.724712', '0.064604']
